,avatar,hashtags,words
0,sinemunsal,"['#tbt', '#pink', '#Aydınlıkevler,', '#tb']","{'tbt', 'aydnlkevler', 'tb', 'pink'}"
1,ellekorea,"['#ELLECoverstar', '#제작비지원', '#공유', '#GONGYOO', '#엘르5월호', '#샤넬J12', '#GongYoo', '#CHANEL', '#J12', '#광고', '#ELLEzoomin', '#오늘뭐입지', '#OOTD', '#ELLE그린\n🍏친환경', '#광고', '#심마이크로에센스데뷔탕트컬렉션', '#ELLEzoomin', '#효9TV\n효구와', '#광고', '#홈컬쳐살롱', '#ELLEzoomin', '#광고', '#부쉐론', '#콰트로XS펜던트\nSTARRING', '#광고', '#심즈4', '#화사', '#ELLEzoomin', '#ELLECoverstar', '#광고', '#배두나\n“자신만의', '#엘르3월호', '#엘르', '#광고', '#ELLEzoomin\n-', '#HyeKyoSong', '#FendiAmbassador', '#Fendi', '#펜디', '#트위드재킷', '#p!nk', '#광고', '#ELLEzoomin', '#삼성비스포크', '#비스포크김치플러스', '#비스포크식기세척기', '#비스포크인덕션', '#비스포크냉장고', '#비스포크키친', '#가전을나답게', '#집밥레시피', '#홈쿡', '#김치냉장고추천', '#인덕션추천', '#식기세척기추천', '#ELLEUpClose', '#록시땅', '#본느', '#아벤느', '#폴라스초이스', '#덕후']","{'elle', 'gong', 'yoo', 'up', 'xs', 'close', '5', 'j12', '3', 'star', 'in', 'hye', 'kyo', 'pnk', '4', 'oo', '9tv', 'ambassador', 'zoom', 'starring', 'td', 'fendi', 'chanel', 'cover', 'song'}"
2,ashanegi,"['#mentalbehene', '#instareels', '#reelitfeelit', '#weekendfun', '#dancingandgupshup', '#sunset', '#ankhiyanamaar', '#bollywoodsongs', '#nostalgia', '#somuchfun', '#chalobye', '#collaboration', '#SachhaHoneyAchhaHoney', '#Saffola', '#ifyouknowyouknow', '#itsa2022']","{'you', 'collaboration', 'bollywood', 'dancing', 'mental', 'saffo', 'much', 'nostalgia', 'insta', 'itsa2022', 'maar', 'chalo', 'bye', 'reels', 'it', 'reel', 'weekend', 'sunset', 'khi', 'if', 'sachhahoneyachhahoney', 'hene', 'and', 'gupshup', 'so', 'feel', 'la', 'fun', 'songs', 'be', 'yana', 'know', 'an'}"
3,portadosfundos,"['#BBB21.', '#cozinhacompimenta', '#bbb', '#bbb21', '#bigbrotherbrasil', '#bbbmemes', '#paredão', '#portadosfundos', '#portadosfundos', '#anellysando', '#portadosfundos', '#bbb21', '#bbbmemes', '#bbb', '#cozinhacompimenta', '#bbb', '#bbb21', '#bigbrotherbrasil', '#bbbmemes', '#humorbr', '#portadosfundos', '#portadosfundos', '#vemvacina', '#portadosfundos', '#portadosfundos', '#anellysando', '#portadosfundos', '#futebol', '#campeonatobrasileiro', '#libertadores', '#jogo', '#time', '#coach', '#humorbr', '#comedia', '#portadosfundos', '#portadosfundos', '#anellysando']","{'nelly', 'os', 'coach', 'porta', 'jogo', 'do', 'are', 'comedia', 'p', 'dos', 'com', 'memes', 'vem', 'campeonato', 'vac', 'big', 'brasileiro', 'brasil', 'humor', 'time', 'in', 'san', 'fund', 'libertadores', 'futebol', 'br', 'pimenta', 'bbb', 'bbb21', 'cozinha', 'a', 'brother'}"
4,tobibakre,"['#WellnessWithJumia', '#Camon16', '#CBeyond', '#TobiBakre\n.\n\nAnd', '#Ready2Mingle', '#ShootYourShot', '#ReadytoMinglewithCloseup', '#Closeup', '#ShootyourshotwithCloseup', '#ShootYourShotwithCloseUp', '#readytominglewithcloseup\n@closeupnigeria', '#stayfearless\n.\n\n@trans4mazfotography', '#HomewithFearlessXHeadies', '#FearlessHeadies', '#14thHeadies.', '#stayfearless', '#whatislove', '#keepexploring']","{'your', 'nigeria', 'is', '4mazfo', 'to', 'keep', 'trans', 'with', 'exploring', 'up', '2mingle', 'love', 'close', 'what', 'ju', 'mia', 'akre', 'x', 'wellness', 'stay', 'mingle', 'and', 'closeup', 'beyond', 'head', 'home', '14thheadies', 'c', 'tography', 'shoot', 'camon16', 'ready', 'fearless', 'ies', 'shot', 'bib'}"
5,minimalistbaker,"['#chorizo', '#veganchorizo', '#tofu', '#veganrecipes', '#pbandj', '#peanutbutter', '#smoothie', '#vegansmoothie', '#veganbreakfast', '#risotto', '#veganrecipes', '#easyveganrecipes', '#glutenfree', '#bbqjackfruit', '#summerrecipes', '#vegansandwich', '#goldenmilk', '#overnightoats', '#oatmeal', '#frenchfries', '#oilfree', '#veganrecipes', '#easyveganrecipes', '#whitebeans', '#kale', '#artichoke', '#veganrecipes', '#veganappetizers', '#grahamcrackers', '#vegan', '#berries', '#summerrecipes', '#veganrecipes', '#berryrecipes', '#romesco', '#veganromesco', '#veganrecipes', '#easyrecipes', '#hashbrowns', '#weekendbreakfast', '#veganbreakfast', '#peanutbutter', '#banana', '#pudding', '#vegandesserts']","{'graham', 'band', 'oatmeal', 'peanut', 'risotto', 'berries', 'rome', 'milk', 'smoothie', 'sandwich', 'artichoke', 'sco', 'overnight', 'desserts', 'p', 'j', 'vegan', 'hashbrowns', 'jackfruit', 'butter', 'chorizo', 'recipes', 'gluten', 'free', 'banana', 'golden', 'crackers', 'bbq', 'white', 'appetizers', 'weekend', 'beans', 'kale', 'french', 'easy', 'summer', 'berry', 'pudding', 'fries', 'breakfast', 'tofu', 'oats', 'oil'}"
6,jess,"['#luluspartner', '#lovelulus', '#dermalogicapartner', '#dermalogicapartner']","{'lulu', 'love', 'dermalogica', 'partner', 's'}"
8,rajishavijayan,"['#retrospecting', '#RamaRaoOnDutyOnJune17']","{'ramaraoondutyonjune17', 'retrospect', 'ing'}"
10,mohammedassaf89,"['#مصر', '#محمد_عساف', '#فلسطين', '#عيد_الأضحى', '#فلسطين', '#يوم_عرفة', '#فلسطين', '#أضحى_مبارك', '#محمد_عساف', '#فلسطين', '#قصص_عن_فلسطين\n\nكلمات', '#قصص_عن_فلسطين', '#محمد_عساف', '#فلسطين\nلينك', '#عالحارة', '#قصص_عن_فلسطين.', '#محمد_عساف', '#فلسطين', '#قصص_عن_فلسطين', '#محمد_عساف', '#عالحارة\nلينك', '#قصص_عن_فلسطين', '#قصص_عن_فلسطين.', '#محمد_عساف', '#فلسطين', '#قصص_عن_فلسطين', '#محمد_عساف', '#فلسطين', '#palestine\nرابط']",{'palestine'}
11,rizkynazar20,"['#TillDeathDoUsPart', '#MDPictures', '#DisneyPlusHotStarID', '#SinemaSpektakuler\n@mdpictures_official\n@umbarabrothers\n@disneyplushotstarid\n@manojpunjabimd\n@anggy_umbara\n@syifahadjureal\n@rizkynazar20\n@andrimashadi\n@david_nurbianto\n@ephy.pae\n@verdisolaiman\n@emilkusumo\n@ariefdidu_\n@anyuncadel\n@uniquepriscillamauretha\n@karina.suwandi81', '#DisneyPlusHotstarID.', '#besoktayang', '#TillDeathDoUsPart', '#MDPictures', '#DisneyPlusHotStarID', '#SinemaSpektakuler\n@mdpictures_official\n@umbarabrothers\n@disneyplushotstarid\n@manojpunjabimd\n@anggy_umbara\n@syifahadjureal\n@rizkynazar20\n@andrimashadi\n@david_nurbianto\n@ephy.pae\n@verdisolaiman\n@emilkusumo\n@ariefdidu_\n@anyuncadel\n@uniquepriscillamauretha\n@karina.suwandi81', '#DENTIGRESTRAP', '#OnitsukaTiger', '#OnitsukaTigerID', '#onegreenstep', '#onegreenstep', '#GarnierGreenBeauty', '#wearegreenbeauty', '#17selamanya', '#selamatharifilmnasional', '#Lazada9Birthday', '#Baren9anLazadalazada_id']","{'garnier', '17selamanya', 'e', 'id', 'aim', 'hari', 'one', 'milk', 'tiger', 'maurethakarinasuwandi81', 'sinemaspektakulermd', 'birthday', 'do', 'tigre', 'we', 'are', 'manoj', 'strap', 'till', 'film', 'death', 'disney', 'david', 'priscilla', 'step', 'brothers', 'us', 'usumoariefdiduanyuncadel', 'nurbiantoephypaeverdisol', 'green', 'punjabi', 'star', 'part', 'bar', 'official', 'real', 'rizkynazar20andrimashadi', 'kta', 'pictures', 'den', 'beauty', 'baren9anlazadalazadaid', 'yang', 'so', 'hot', 'um', 'md', 'mdanggyumbarasyifahadju', 'nasional', 'lazada9', 'be', 'a', 'plus', 'unique', 'selamat', 'onitsuka', 'an'}"
