,avatar,hashtags
0,champagnepapi,[]
1,fcbarcelona,"['#laligahighlights', '#Sempre3', '#Sempr3', '#Sempr3', '#Sempr3', '#BarçaInter', '#BarçaInter']"
2,championsleague,"['#UCLGOTGS', '#UCL', '#UCL', '#UCL', '#UCL', '#UCL', '#UCL', '#UCL', '#FedExPerformanceZone', '#HBD', '#UCL', '#HBD', '#UCL', '#UCL', '#UCL', '#UCLassists', '#UCL', '#UCLTOTW', '#UCLshowtime', '#UCL', '#UCL', '#UCLGOTGS', '#HBD', '#UCL', '#UCLdraw', '#UCLdraw', '#UCLdraw']"
3,k.mbappe,"['#NikeFC', '#BeWhoYouAre', '#FIFA23', '#HublotLovesFootball\n@Hublot']"
4,gal_gadot,"['#deathonthenile', '#TiffanyLock', '#TiffanyPartner', '#SolaireCulture', '#ad21+\n\nMakeup:', '#Tudum', '#HOS']"
5,dualipa,"['#libre', '#yslbeauty', '#ThriftedPack', '#libre', '#yslbeauty', '#TheFutureNostalgiaTour', '#thefuturenostalgiatour', '#90', '#TheFutureNostalgiaTour']"
6,priyankachopra,"['#Bulgari', '#BulgariHighJewelry', '#UnexpectedWonders', '#EdenTheGardenofWonders', '#Sapphire', '#ad', '#2000CalorieMascara', '#MaxFactor', '#AlwaysInMyBag', '#Nykaa', '#reels', '#LoveAgainMovie,', '#InternationalDayOfTheGirl…', '#DayoftheGirl,', '#IDG2022', '#chengingtopowell']"
7,chrisbrownofficial,"['#undertheinfluencetour', '#undertheinfluencetour', '#BREEZY', '#undertheinfluence', '#breezyseason', '#TEAMBREEZY!']"
8,realmadrid,"['#WelcomeRüdiger', '#CAMPEON35', '#36Ligas', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeRüediger', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeRüdiger', '#WelcomeTchouameni', '#RMEditChallenge', '#RMFans,', '#CHAMP14NS\n🏆', '#CAMPEON35\n🏆', '#SUPERCAMPEONES', '#WelcomeTchouameni', '#RealFootball', '#RMFans,', '#WelcomeTchouameni', '#WelcomeTchouameni', '#WelcomeTchouameni', '#WelcomeTchouameni']"
9,vindiesel,"['#torettosgarage', '#FastX', '#FloraColossi', '#AlphaGroot', '#PlanetX', '#Furyan', '#Family\n@jordanabrewster', '#FastX', '#FastX', '#fanart', '#leadwithlove', '#FastX', '#FastX', '#FastX']"
10,lalalalisa_m,"['#광고', '#LISAXCELINE', '#CELINEBYHEDISLIMANE']"
11,billieeilish,[]
