id,avatar,posts,followers,likes,engagement_rate
0,ektarkapoor,4.8K,4.5M,4.83K,0.8
1,poche,1.1K,4.5M,1.07K,4
2,alejandrospeitzer,342,4.5M,342,9
3,sivaangi.krish,469,4.5M,469,10.3
4,skeetulrich,129,4.5M,129,8.3
5,officialshetta,1.1K,5.5M,1.07K,0.1
6,afcajax,8.9K,5.5M,8.94K,0.7
7,a.sharif92,300,5.5M,300,1.6
8,photoshop,1.6K,5.5M,1.58K,0.5
9,lisabarcelox,298,5.5M,298,10.7
10,katherineheigl,1.3K,3.6M,1.27K,2
11,yolanda.hadid,2.8K,3.6M,2.81K,8.7
12,alejandrabaigorria,1.1K,3.6M,1.13K,2
13,buyayahya_albahjah,7.9K,3.6M,7.92K,0.1
14,amazingphil,318,3.6M,318,4.9
15,philheath,2.8K,3.6M,2.78K,3.6
16,mikeezu,8.2K,3.6M,8.25K,0.2
17,glockinc,1.6K,2.1M,1.57K,1
18,jdabrowsky,1.9K,2.1M,1.93K,5.7
19,suntv,23.4K,2.1M,23.44K,0.1
20,wamiqagabbi,208,2.1M,208,4.8
21,blocboy_jb,24,2.1M,24,0.7
22,asanarebel,1.1K,2.1M,1.14K,0.1
23,emyliadac,18.7K,2.1M,18.70K,0.1
24,joeyswoll,1.5K,2.1M,1.49K,0.8
25,behdad_hamed,828,2.1M,828,6.3
26,lamar_hype,119,2.1M,119,5.4
27,ktmfactoryracing,3.8K,2.1M,3.81K,0.8
28,edward_barber,632,2.1M,632,2.5
29,luanavjollca,511,2.1M,511,1.7
30,bravotv,6.6K,2.1M,6.57K,0.3
31,iamsandeepadhar,459,2.1M,459,4.1
32,shakhram__giyasov,0.9K,2.1M,0.95K,0.8
33,healthy.foodyss,5.2K,2.1M,5.19K,0.3
34,simondesue,405,2.1M,405,2.1
35,mrwonderful_,11.4K,2.1M,11.44K,0.7
36,saritiw,3.9K,1M,3.86K,2
37,anastasiajadore,2.2K,1M,2.24K,2.3
38,julianjacs,801,1M,801,1.7
39,strava,1.1K,1M,1.09K,0.6
40,enjinight,786,1M,786,8.4
41,kareemabduljabbar_33,575,1M,575,2.3
42,newyork_instagram,3K,1M,3.01K,1.6
43,arqsketch,6.8K,1M,6.79K,0.2
44,zsazsapadilla,5K,1M,5.04K,0.4
45,johanneshuebl,2.5K,1M,2.51K,1.7
46,halimabubakar,198,1M,198,0.2
47,amanda.twin,49,1M,49,4.7
48,balazsdzsudzsak7,30,1M,30,2.6
49,lahamag,33.9K,1M,33.91K,0.2
50,jenniferwilliams,3.1K,1M,3.13K,1
51,nicolaspaolizzi,2.1K,1M,2.11K,2.1
52,bouba,2.6K,1M,2.58K,0.9
53,yashitak008,595,1M,595,6.6
54,milaj,862,1M,862,1.9
55,gabbiefadel,2.4K,1M,2.39K,3.3
56,watsonsth,11.1K,1M,11.08K,0.1
57,andersontalisca,1.4K,1M,1.42K,2.6
58,bigsmooth26,22,1M,22,0.2
59,wonderwomanfilm,642,1M,642,0.9
60,garmin,2.4K,1M,2.37K,0.3
61,enyadres,1K,1M,1.03K,3.7
62,adwoaaboah,705,1M,705,1.6
63,chontelduncan,5.8K,1M,5.76K,1
64,herteldeinsta,162,1M,162,0.6
65,sachiinjjoshi,1K,1M,1.01K,0.1
66,aviwkila,1.9K,1M,1.85K,1.1
67,hishamgamalbb,390,1M,390,4.1
68,yeezyboosts,3.1K,1M,3.11K,0.6
69,meghanking,2.4K,1M,2.39K,0.7
70,ksenia_dzhalaganiya,843,1M,843,0.5
71,drdebabratasenofficial,343,1M,343,0
72,dr.karl.plastic,2.4K,1M,2.39K,0.1
73,gurukohlimusic,145,1M,145,0.6
74,reliancejio,2.5K,1M,2.53K,0.1
75,afida_turner,544,1M,544,0.9
76,rohit0077,0.9K,1M,0.93K,1.5
77,valeriamarini,1.5K,1M,1.49K,0.5
78,aflintoff11,1.1K,1M,1.12K,0.7
79,alabamafbl,4.9K,1M,4.90K,3.3
80,chevirgo,19.4K,1M,19.43K,0.4
81,alexgaskarth,1.5K,1M,1.52K,3.4
82,96k96,306,1M,306,0.9
83,snehagupta28,293,1M,293,0.9
84,shittarabsneversay,11.2K,1M,11.25K,1.1
85,rebeccamir,2.3K,1M,2.32K,3.3
86,yurtalansuna,1.7K,1M,1.69K,1.1
87,desigual,343,1M,343,0.5
88,vanesamartin_,1.8K,1M,1.77K,2.6
89,helia_jalilnezhad,377,1M,377,7.9
90,randpunk,808,1M,808,1.2
91,incrediblezigi,1.6K,1M,1.61K,1
92,kareem_amr_saif,2.6K,1M,2.59K,0.2
93,affirmationsandquotes,8.5K,1M,8.46K,0.4
94,imsharwanand,350,1M,350,6.4
95,brian_champagne,10.1K,1M,10.10K,0.1
96,fernandacolombo,1K,1M,1.01K,2.2
97,mikecrackyt,179,1M,179,6.4
98,adamaxoi,228,1M,228,2.2
99,zadigetvoltaire,4.9K,1M,4.86K,0.4
100,narupornkamol,1.1K,1M,1.09K,2.6
101,chinkotiger,58,1M,58,0.7
102,everlane,2.7K,1M,2.68K,0.5
103,syamalaofficial,0.9K,1M,0.92K,2.7
104,swagboyq,21,1M,1,0
105,domanishoes,0.9K,1M,0.92K,0.2
106,lakersscene,10.4K,1M,10.42K,0.5
107,realghostfacekillah,818,1M,818,2.1
108,queenpee,212,1M,212,2.1
109,dec.ao,0.9K,1M,0.92K,2.5
110,andreaschoice,229,1M,229,4.4
111,toru_10969,780,1M,780,12.2
112,bodyengineers,2.7K,1M,2.71K,0.3
113,natyparagoni,1.1K,1M,1.06K,2.8
114,edisgorgulu,291,2.8M,291,4.4
115,bollywoodak,5.5K,2.8M,5.49K,0.1
116,armanibeauty,3.5K,2.8M,3.48K,0.1
117,ajmal_khan_,6.1K,2.8M,6.11K,1.2
118,barbaracarmelitadurso,6.1K,2.8M,6.08K,0.7
119,hafidderradji,1.3K,2.8M,1.35K,0.9
120,yankees,5.4K,2.8M,5.36K,4.7
121,tatinunesoficial,1.2K,2.8M,1.22K,2
122,therealemraan,453,2.8M,453,5.9
