,avatar,posts,followers,likes,engagement_rate
0,allevamentodonegana,608,21K,608,3.1
1,iamomarcruz,1.2K,21K,1.24K,0.2
2,alfieindra,245,21K,245,13.6
3,mayoks_michael,239,21K,239,7.6
4,anjali_198,187,21K,187,4.3
5,woodsofsouth,1.2K,21K,1.18K,3.4
6,creativeedgeparties,2.3K,21K,2.26K,0.7
7,hunterstore,5.8K,21K,5.83K,0.2
8,yogahub,2.1K,21K,2.07K,0.2
9,sofiawie,795,21K,795,5.8
10,kijangkapsullovers,550,21K,550,1.8
11,withchocolatechips,3K,21K,3K,2.3
12,beautiful.barbados,5.5K,21K,5.48K,2.1
13,seitan.bistro,2K,21K,1.99K,0.3
14,unique21official,1.8K,21K,1.80K,0.1
15,nazila.amrin,261,21K,261,5
16,twojames,1.2K,21K,1.18K,1.5
17,bella_union,1.5K,21K,1.49K,0.8
18,istanbulgezi,7.5K,21K,7.54K,0.1
19,astrologer_niraj_sharma,626,21K,1,1.2
20,adrianariosmusic,1.2K,21K,1.18K,3.3
21,theartisanalmovement,700,21K,700,0.3
22,galerifurniturecute,3.2K,21K,1,0
23,aganz__,358,21K,358,7.8
24,kxlu,1.4K,21K,1.38K,0.4
25,joacodiazst,2K,21K,2.04K,1.5
26,_thalapathy__studio,149,21K,149,7.6
27,bastarena,2.3K,21K,2.25K,0.2
28,ekoguitars_official,2.1K,21K,2.13K,0.6
29,makeup_diaries_ina,350,21K,350,1.7
30,k.klosetttt,83,21K,83,11.5
31,command,708,21K,708,0.4
32,welcometotheskyclub,442,21K,442,7.8
33,aswin_s_photography,144,21K,144,7.9
34,astoldbywomen,1.4K,21K,1.38K,1.3
35,alphatoxvip,2.4K,21K,1,0
36,das_hitradio,785,21K,785,1.6
37,hydrowatersportsuae,450,21K,450,0.4
38,emborgasia,422,21K,422,0.4
39,vintulvee,189,21K,189,7.9
40,rafafdezjr,0.9K,21K,0.95K,6.3
41,ztreasures,2.8K,21K,2.81K,0.4
42,galaxyseth,212,21K,212,0.3
43,7.insta,406,21K,406,3
44,ingg_outfits,481,21K,481,5.4
45,suzurijp,717,21K,717,1.4
46,sarahzareinraza,665,21K,665,1.4
47,anuel2_.bleaa,397,21K,397,0.8
